OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue,,,
SO - 000225,01-01-2017,13-01-2017,28,Wholesale,NZD,AXW291,71,11,6,"2,499.10","1,824.34","14,994.60",,,
SO - 0003378,01-01-2017,06-01-2017,7,Distributor,NZD,AXW291,54,7,11,"2,351.70","1,269.92","25,868.70",,,
SO - 0003901,01-01-2017,05-01-2017,12,Wholesale,NZD,AXW291,58,13,5,"1,728.60","1,019.87","8,643.00",,,
SO - 0005126,01-01-2017,17-01-2017,5,Wholesale,USD,AXW291,29,7,6,978.20,684.74,"5,869.20",,,
SO - 0005614,01-01-2017,07-01-2017,27,Export,NZD,AXW291,31,6,7,"2,338.30","1,028.85","16,368.10",,,
SO - 0005781,01-01-2017,15-01-2017,44,Wholesale,GBP,AXW291,78,9,8,"2,291.40","1,260.27","18,331.20",,,
SO - 0002911,02-01-2017,15-01-2017,37,Wholesale,EUR,AXW291,2,2,6,911.20,665.18,"5,467.20",,,
SO - 0003527,02-01-2017,19-01-2017,8,Wholesale,USD,AXW291,77,9,11,"1,701.80","1,429.51","18,719.80",,,
SO - 0004792,02-01-2017,13-01-2017,14,Wholesale,NZD,AXW291,82,11,6,167.50,83.75,"1,005.00",,,
SO - 0005414,02-01-2017,05-01-2017,47,Wholesale,USD,AXW291,71,7,7,"1,835.80","1,413.57","12,850.60",,,
SO - 0005609,02-01-2017,10-01-2017,22,Distributor,NZD,AXW291,5,1,7,"3,966.40","1,903.87","27,764.80",,,
SO - 0006308,02-01-2017,19-01-2017,39,Wholesale,USD,AXW291,42,1,8,214.40,124.35,"1,715.20",,,
SO - 0006534,02-01-2017,11-01-2017,46,Distributor,NZD,AXW291,87,2,9,"5,152.30","3,709.66","46,370.70",,,
SO - 0007139,02-01-2017,09-01-2017,45,Wholesale,NZD,AXW291,80,1,6,"2,418.70","1,910.77","14,512.20",,,
SO - 000450,03-01-2017,19-01-2017,20,Wholesale,EUR,AXW291,38,7,7,"1,078.70",906.11,"7,550.90",,,
SO - 000848,03-01-2017,12-01-2017,36,Wholesale,NZD,AXW291,97,1,9,"2,217.70","1,596.74","19,959.30",,,
SO - 0001724,03-01-2017,19-01-2017,30,Wholesale,AUD,AXW291,88,9,11,"1,038.50",633.49,"11,423.50",,,
SO - 0002078,03-01-2017,14-01-2017,5,Wholesale,GBP,AXW291,6,2,5,"3,999.90","3,279.92","19,999.50",,,
SO - 0002795,03-01-2017,09-01-2017,11,Wholesale,NZD,AXW291,95,5,12,"3,872.60","2,517.19","46,471.20",,,
SO - 0003775,03-01-2017,15-01-2017,5,Distributor,GBP,AXW291,37,2,12,891.10,516.84,"10,693.20",,,
SO - 0004247,03-01-2017,14-01-2017,14,Export,NZD,AXW291,53,1,6,"3,879.30","2,056.03","23,275.80",,,
SO - 0004386,03-01-2017,08-01-2017,39,Distributor,AUD,AXW291,77,7,9,"1,045.20",418.08,"9,406.80",,,
SO - 0004592,03-01-2017,06-01-2017,17,Wholesale,NZD,AXW291,6,2,12,"5,406.90","3,676.69","64,882.80",,,
SO - 0005716,03-01-2017,08-01-2017,11,Wholesale,NZD,AXW291,60,2,12,234.50,189.95,"2,814.00",,,
SO - 0005751,03-01-2017,21-01-2017,29,Wholesale,NZD,AXW291,47,2,5,"1,943.00","1,651.55","9,715.00",,,
SO - 0006419,03-01-2017,18-01-2017,41,Distributor,USD,AXW291,30,2,10,"1,058.60",666.92,"10,586.00",,,
SO - 0006790,03-01-2017,13-01-2017,33,Wholesale,USD,AXW291,63,1,10,"2,532.60","1,696.84","25,326.00",,,
SO - 0006962,03-01-2017,10-01-2017,34,Distributor,GBP,AXW291,65,11,9,"2,720.20","1,251.29","24,481.80",,,
SO - 0007587,03-01-2017,06-01-2017,5,Export,USD,AXW291,27,6,10,"2,391.90","1,363.38","23,919.00",,,
SO - 0001259,04-01-2017,11-01-2017,50,Distributor,AUD,AXW291,28,1,8,"3,825.70","2,601.48","30,605.60",,,
SO - 0002564,04-01-2017,13-01-2017,43,Wholesale,AUD,AXW291,83,7,12,167.50,103.85,"2,010.00",,,
